,date,status,content,time,type
0,11/12/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,11/12/2019,received,"Boa noite chefe
21:51",21:51,text
2,11/12/2019,received,"Blz
21:51",21:51,text
3,11/12/2019,received,"O de sempre
21:51",21:51,text
4,11/12/2019,received,"2 ura Phila 
1 ura hot
1 ura atum defumado
21:51",21:51,text
5,11/12/2019,received,"1 temaki phila
21:52",21:52,text
6,11/12/2019,viewed,"Oppa claroo
21:54",21:54,text
7,11/12/2019,viewed,"fecho Anderson, logo ja mando
21:57",21:57,text
8,11/12/2019,viewed,"Ficou em R$ 71,70
21:57",21:57,text
9,11/12/2019,viewed,"Confirma seu endereço de novo, to com um motoboy novo hoje, e se conseguir ate a localização ajuda hahaha
21:57",21:57,text
10,11/12/2019,viewed,https://maps.googleapis.com/maps/api/staticmap?zoom=15&size=270x200&scale=1&language=pt-BR&client=gme-whatsappinc&markers=color%3Ared%7C-27.15494155883789%2C+-48.5770378112793&signature=D_SPiQe_yVapTwOtaqQMy7x3QME=,21:58,image
11,11/12/2019,received,"Wilson beler 319
21:58",21:58,text
12,11/12/2019,viewed,"fechoo
21:58",21:58,text
13,11/12/2019,viewed,"Vai ser no cartão Anderson?
22:21",22:21,text
14,11/12/2019,received,"Sim
22:25",22:25,text
15,19/12/2019,viewed,blob:https://web.whatsapp.com/148ec882-15a0-4f81-8e3c-2623346b2719,20:01,image
16,19/12/2019,viewed,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",20:11,image
