,date,status,content,time,type
0,29/04/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,29/04/2019,received,salve irmao,10:08,text
2,29/04/2019,received,tudo certo ai?,10:08,text
3,29/04/2019,viewed,https://web.whatsapp.com/pp?e=https%3A%2F%2Fpps.whatsapp.net%2Fv%2Ft61.24694-24%2F71490637_730137144097766_4722338828537298944_n.jpg%3Foe%3D5DF450F8%26oh%3Defc2232c01b50a58876b27bac1586e9b&t=s&u=554784311564%40c.us&i=1571931317,10:09,image
4,29/04/2019,received,ok,10:11,text
5,30/04/2019,viewed,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",09:22,image
6,02/05/2019,received,salve irmao,09:09,text
7,02/05/2019,received,nao precisou ?,09:10,text
8,02/05/2019,viewed,Pior que tenho umas 40 ainda,09:49,text
9,02/05/2019,viewed,Vai dar certinho até sabadão,09:49,text
10,03/05/2019,received,"mano, foi mau a hr, se vai querer amanha?",23:26,text
11,03/05/2019,viewed,Então mano vou precisar pra segunda de certeza,23:28,text
12,03/05/2019,received,ai vc vai acertar na segunda m,23:29,text
13,03/05/2019,received,?,23:29,text
14,03/05/2019,viewed,Mas amanhã vou aí pegar umas de 500gr fiquei de ir hoje mas não deu tempo,23:29,text
15,03/05/2019,viewed,Sim mano acerto na segunda,23:29,text
16,03/05/2019,viewed,Fica tranquilo quanto a isso,23:30,text
17,03/05/2019,received,de boa,23:30,text
18,03/05/2019,received,rlx,23:30,text
19,03/05/2019,viewed,Amanhã passo lá pra pegar as Fit e falamo pessoalmente,23:31,text
20,03/05/2019,received,demoro,23:32,text
21,04/05/2019,viewed,https://web.whatsapp.com/pp?e=https%3A%2F%2Fpps.whatsapp.net%2Fv%2Ft61.24694-24%2F71490637_730137144097766_4722338828537298944_n.jpg%3Foe%3D5DF450F8%26oh%3Defc2232c01b50a58876b27bac1586e9b&t=s&u=554784311564%40c.us&i=1571931317,12:53,image
22,04/05/2019,received,"beleza irmao,",12:55,text
23,04/05/2019,received,isso,12:55,text
24,04/05/2019,received,r$ 138,12:55,text
25,04/05/2019,viewed,Combinado então,12:55,text
26,04/05/2019,viewed,Vou tentar sacar antes de tu chegar dai,12:56,text
