,date,status,content,time,type
0,16/07/2019,ENGINE,As mensagens e chamadas dessa conversa estão protegidas com criptografia de ponta a ponta.,ENGINE,text
1,16/07/2019,viewed,"Boa Noite minha tia Jaque to passando aqui pra te dizer que mesmo de longe estou com vcs nessa hora que deve tá sendo bem difícil sei o quanto deve ser difícil esse momento que nem tudo deve confortar mas acredito que Deus tenha um propósito para tudo isso ainda mais se tratando de uma pessoa tão boa...gostaria muito de poder estar por perto pra pelo menos tentar confortar vcs...e tenta sempre lembrar de todos os momentos bons da vida do vo Beijamim tenho certeza que foram muitos e maiores que essas últimas horas difíceis que vcs estão passando hoje,,,Envio meus sentimentos pra ti pro tio Alfredo pros teus irmãos e pra Vó Cecília principalmente,,, um grande bjo do sobrinho que ama e admira muito vcs...Gui, fiquem com Deus
19:58",19:58,text
2,16/07/2019,received,"Oi meu amor, muito obrigada pelo carinho. Te amo muito e para sempre
22:45",22:45,text
3,16/07/2019,viewed,"Força ai tia
23:13",23:13,text
4,16/07/2019,received,"Obrigada meu amor
23:14",23:14,text
5,16/07/2019,viewed,"Pessoal precisa de ti muito
23:14",23:14,text
6,06/12/2019,viewed,blob:https://web.whatsapp.com/a7d2bdf2-8767-48ae-8d25-e075e0a6885e,09:48,image
7,09/12/2019,viewed,blob:https://web.whatsapp.com/0597dae5-4cf2-466f-9218-6f1cb8416d72,09:40,image
8,10/12/2019,viewed,blob:https://web.whatsapp.com/17db9164-7f3d-4970-be3c-08621e7753bd,09:31,image
9,11/12/2019,viewed,blob:https://web.whatsapp.com/f7738eba-d093-4b5a-94b6-7d41fff83df8,09:17,image
10,12/12/2019,viewed,blob:https://web.whatsapp.com/43fecdab-f458-457b-aa7b-b6a240814e86,09:36,image
11,13/12/2019,viewed,blob:https://web.whatsapp.com/ec56ba58-c93c-45f0-98cc-b1f806b54929,09:42,image
12,16/12/2019,viewed,blob:https://web.whatsapp.com/b5af8340-bdca-4867-b2f7-f74924318c92,10:44,image
13,17/12/2019,viewed,blob:https://web.whatsapp.com/aa67b54a-5c06-4821-8693-3e8c351bdb08,09:25,image
14,18/12/2019,viewed,blob:https://web.whatsapp.com/c2a647f2-4560-41f2-a4c4-7a25a18425db,09:31,image
